x
CD209
HLA-B
HLA-A
ERVK-6
ERVW-1
TNF
TAP2
HLA-DRB1
HLA-C
CLEC5A
IL10
IL1RL1
TNFSF10
IVNS1ABP
PTPN11
MBL2
CTLA4
TAP1
SENP8
IFNA1
IFNA13
ERVK-20
KRAS
RAF1
MIR7-3HG
LAMP3
LSAMP
THBD
IL1B
PRH2
CCL2
CCL5
RARRES3
PMP22
NR0B1
CSF2
PRH1
DDX58
MPZ
IFNG
CXCL10
TLR3
ATN1
LAMC2
CASP1
IL17A
ROBO3
XAF1
MIF
FBXW7
IL6
PDR
BLNK
OAS3
OAS1
RNASEL
CCL3
CXCL8
NIPAL3
ICA1
RBM6
THSD7A
IBTK
ZNF263
PHTF2
IFRD1
MYLIP
CDK11A
RABGAP1
MVP
PGM3
RWDD2A
CLK1
GPRC5A
CHDH
C8B
RB1CC1
ERP44
UBR2
SEC63
FAM13B
SARS
GAB2
RNF19A
HSPA5
ZNF800
TNFRSF9
HERPUD1
TTC17
SDCCAG8
EIF2AK2
PARP12
EIF4B
SLC12A2
MTHFD2
ARFGEF1
KLF6
TRAM1
IFI35
PLEKHH3
NEDD4
NUCB2
EXOC5
JMJD6
ASNS
LMCD1
SEL1L
DERL2
LMAN1
EIF4G3
RARB
PPP1R12B
DNAJC10
GPR137B
PPP2R5C
HOXA9
ITCH
MOK
CXCL2
ARG2
CADPS2
CCNT2
NFE2L1
GSK3B
TDRD3
CTTN
B4GALT1
ERO1B
PPP1R15A
HSD17B14
EDEM2
TGDS
SMOX
KIZ
DHX32
ICAM1
DNAJB11
AARS
RAPGEF4
TBX15
VNN3
SUCO
NANS
EFHC1
SIRT1
MZF1
HSD3B7
GADD45B
CABIN1
LRP5L
GGA1
KDELR3
BIK
IFT27
VCPKMT
ATP6V1D
DAAM1
NFKBIA
HNF4A
PABPC1L
ADNP
TRIB3
SEC23B
XIAP
MAGT1
ARMCX3
DNAJC3
MON1B
CRISPLD2
TTC23
BMF
SPG11
TRIM35
ZFAND1
DMPK
TIMM44
ZNF419
RABAC1
PTPRS
CYTH2
PLA2G4C
TMEM205
HAMP
HPN
BET1
HBP1
CAV1
HOXA1
TAX1BP1
FKBP14
GARS
YKT6
SEC61B
SUSD1
AKNA
DNMBP
UNC5B
FBXW4
CCDC6
FBXL20
TRIM37
GOSR2
RPS6KB1
IFT20
AREG
RPL34
UGDH
LPXN
PPP6R3
ARHGEF17
UBE4A
CBL
MADD
SH2B3
DUSP16
C12orf57
GCNT2
TPD52L1
SOD2
ICK
SMAP1
B3GAT2
ARFGEF3
HECA
VEGFA
BTN2A1
HBEGF
APBB3
COL4A3BP
AGXT2
SEC24A
BNIP1
CPEB4
SELENOK
BCL6
SLC25A36
BBX
KLHL24
SSR3
STAM2
MPV17
TTC31
STAT1
COQ10B
ZNF142
IL1R1
FHL2
HDLBP
SLC1A4
AAK1
ARHGEF2
PLA2G4A
GADD45A
CTH
SERPINC1
RSRP1
SPCS2
TNFAIP3
SPP1
UBE2B
SENP5
KDSR
IFT43
DNAL1
FAM45A
DUSP1
MTHFD1L
CYSTM1
MSANTD2
UFM1
SIL1
SERP1
ARL1
SLC35B1
POLK
COPA
TRMT13
WIPF3
SLC25A51
DCAF10
RBM19
OPTN
EEF1AKMT3
METTL8
SLC36A1
G0S2
SDC4
STX16
ABCC10
HIST1H1D
SOX4
ATXN1
SLC25A35
RBCK1
EIF2S2
FRMD8
NSRP1
IFI6
WDR24
TUBGCP6
SDF2L1
ATF4
APOL2
DNAJB9
FLNC
GAD1
CHAC1
RSPH3
GDF15
TAF4
SESN2
CLIP1
